Inference for Stan model: 643f7ce1168b679b2f09039d904fab2e.
4 chains, each with iter=10000; warmup=5000; thin=10; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                      mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff Rhat
alpha                -0.49    0.03  0.70    -1.40    -0.58    -0.49    -0.37     0.50   640 1.00
beta_day              0.00    0.00  0.00     0.00     0.00     0.00     0.00     0.01  1392 1.00
beta_dairy            0.06    0.00  0.04    -0.03     0.03     0.06     0.09     0.14  1417 1.00
beta_winter           0.80    0.00  0.10     0.61     0.73     0.80     0.87     1.00  2000 1.00
beta_day_winter       0.00    0.00  0.00    -0.01     0.00     0.00     0.00     0.00  1796 1.00
beta_dairy_winter     0.39    0.00  0.14     0.12     0.30     0.39     0.49     0.68  1497 1.00
phi_alpha             3.03    0.01  0.39     2.35     2.75     3.00     3.27     3.88   963 1.00
phi_dairy            -0.73    0.02  0.54    -1.85    -1.07    -0.69    -0.36     0.29  1081 1.00
phi_winter           -1.96    0.01  0.42    -2.88    -2.22    -1.94    -1.68    -1.20  1321 1.00
phi_dairy_winter      0.69    0.02  0.59    -0.46     0.30     0.68     1.07     1.87  1412 1.00
sigma_region          0.55    0.05  1.27     0.05     0.13     0.23     0.49     3.75   754 1.00
sigma_square          0.14    0.00  0.05     0.04     0.11     0.14     0.18     0.24   580 1.00
b_region[1]          -0.52    0.00  0.09    -0.69    -0.57    -0.52    -0.46    -0.35  1512 1.00
b_region[2]          -0.37    0.00  0.09    -0.55    -0.44    -0.37    -0.32    -0.19  1117 1.00
b_region[3]          -0.58    0.00  0.07    -0.73    -0.63    -0.58    -0.53    -0.44  1514 1.00
b_square[1,1]        -0.09    0.00  0.11    -0.34    -0.16    -0.08    -0.01     0.11  1168 1.00
b_square[1,2]        -0.04    0.00  0.11    -0.26    -0.10    -0.03     0.03     0.16  1748 1.00
b_square[1,3]         0.00    0.00  0.11    -0.23    -0.07     0.00     0.06     0.22  1153 1.00
b_square[1,4]         0.15    0.00  0.13    -0.07     0.05     0.14     0.24     0.45   837 1.00
b_square[1,5]        -0.03    0.00  0.11    -0.25    -0.10    -0.03     0.04     0.19  1398 1.00
b_square[1,6]         0.12    0.00  0.12    -0.09     0.03     0.11     0.20     0.40  1152 1.00
b_square[1,7]         0.12    0.00  0.11    -0.08     0.04     0.12     0.20     0.36   868 1.00
b_square[1,8]        -0.01    0.00  0.11    -0.23    -0.08    -0.01     0.06     0.21  1367 1.00
b_square[1,9]        -0.21    0.01  0.15    -0.53    -0.31    -0.21    -0.11     0.03   841 1.00
b_square[1,10]       -0.01    0.00  0.11    -0.22    -0.08     0.00     0.06     0.22  1234 1.00
b_square[2,1]         0.03    0.00  0.11    -0.17    -0.04     0.02     0.10     0.25  1448 1.00
b_square[2,2]         0.06    0.00  0.12    -0.15    -0.01     0.06     0.14     0.31  1430 1.00
b_square[2,3]         0.00    0.00  0.10    -0.21    -0.07     0.00     0.06     0.20  1682 1.00
b_square[2,4]        -0.12    0.00  0.13    -0.40    -0.21    -0.11    -0.03     0.09  1398 1.00
b_square[2,5]        -0.02    0.00  0.12    -0.26    -0.09    -0.02     0.05     0.22  1662 1.00
b_square[2,6]         0.14    0.00  0.12    -0.08     0.05     0.13     0.21     0.41   912 1.00
b_square[2,7]         0.03    0.00  0.10    -0.17    -0.04     0.02     0.09     0.24  1147 1.00
b_square[2,8]         0.10    0.00  0.12    -0.11     0.02     0.09     0.17     0.35  1119 1.00
b_square[2,9]        -0.01    0.00  0.10    -0.22    -0.07    -0.01     0.06     0.19  1701 1.00
b_square[2,10]       -0.11    0.00  0.11    -0.35    -0.18    -0.10    -0.03     0.09   985 1.00
b_square[3,1]         0.12    0.00  0.12    -0.09     0.03     0.11     0.20     0.38   948 1.00
b_square[3,2]         0.13    0.00  0.11    -0.06     0.05     0.12     0.20     0.36  1258 1.00
b_square[3,3]        -0.09    0.00  0.13    -0.36    -0.16    -0.08     0.00     0.14  1489 1.00
b_square[3,4]        -0.07    0.00  0.11    -0.32    -0.14    -0.06     0.00     0.14  1503 1.00
b_square[3,5]        -0.11    0.00  0.13    -0.38    -0.19    -0.09    -0.01     0.12  1017 1.00
b_square[3,6]        -0.01    0.00  0.10    -0.21    -0.08    -0.01     0.05     0.19  1258 1.00
b_square[3,7]        -0.03    0.00  0.10    -0.24    -0.10    -0.03     0.03     0.17  1665 1.00
b_square[3,8]        -0.08    0.00  0.11    -0.30    -0.15    -0.08    -0.01     0.12  1390 1.00
b_square[3,9]        -0.02    0.00  0.10    -0.22    -0.08    -0.01     0.05     0.19  1248 1.00
b_square[3,10]        0.05    0.00  0.11    -0.14    -0.02     0.04     0.12     0.28  1446 1.00
mu[1]                 3.74    0.00  0.12     3.51     3.66     3.74     3.83     3.97  1093 1.00
mu[2]                 3.74    0.00  0.12     3.51     3.66     3.74     3.83     3.97  1093 1.00
mu[3]                 3.59    0.00  0.12     3.35     3.51     3.59     3.67     3.82  1093 1.00
mu[4]                 2.90    0.00  0.11     2.68     2.82     2.90     2.97     3.11  1759 1.00
mu[5]                 3.99    0.00  0.11     3.78     3.92     4.00     4.07     4.20  1759 1.00
mu[6]                 4.00    0.00  0.12     3.73     3.92     4.00     4.08     4.23  1627 1.00
mu[7]                 4.08    0.00  0.13     3.83     4.00     4.08     4.16     4.33  1226 1.00
mu[8]                 4.08    0.00  0.13     3.83     4.00     4.08     4.16     4.33  1226 1.00
mu[9]                 3.83    0.00  0.12     3.59     3.75     3.83     3.90     4.07  1514 1.00
mu[10]                4.10    0.00  0.14     3.86     4.01     4.09     4.19     4.38   966 1.00
mu[11]                4.03    0.00  0.14     3.79     3.93     4.02     4.11     4.31   966 1.00
